MANDT;SPRAS;BRSCH;BRTXT
100;IT;51;Birrifici, bevande
100;IT;52;Alimentazione
100;IT;61;App. elett/elettrot.
100;IT;62;Computer/elab. dati
100;IT;63;Software
100;IT;64;Telecomunicazioni
100;IT;71;Beni di consumo
100;IT;72;Traffico e trasporti
100;IT;73;Tempo libero e hotel
100;IT;81;Banche commerciali
100;IT;82;Banche ipotecarie
100;IT;83;Assicurazioni vita
100;IT;84;Ass. beni materiali
100;IT;85;Riassicurazioni
100;IT;86;Holding assicurativa
100;IT;91;Commercio
100;IT;92;Commercio farmac.
100;IT;93;Editoria e media
100;IT;94;Ambiente
100;IT;99;Varie
100;JA;0001;標準産業
100;JA;0002;産業 0002
100;JA;0003;産業 0003
100;JA;01;総合持株会社
100;JA;02;金融サービス
100;JA;03;不動産
100;JA;10;エネルギー供給
100;JA;11;石油/ガス
100;JA;12;原材料
100;JA;13;貴金属
100;JA;21;化学工業
100;JA;22;健康
100;JA;23;ガラス
100;JA;24;建設業
100;JA;25;建築業者
100;JA;26;紙/パルプ
100;JA;27;木材/インフラ
100;JA;31;紡績工場、織布工場
100;JA;32;アパレル
100;JA;41;鉄鋼
100;JA;42;自動車
100;JA;43;自動車メーカー
100;JA;44;機械設計
100;JA;45;特殊機械
100;JA;46;工作機械設計
100;JA;47;航空機製造
100;JA;51;醸造所、飲料
